"No.","Name","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (Year To Date)","Average Volume","Relative Volume","Change","Volume"
128,"Staffing & Employment Services",5.44%,23.02%,47.63%,31.31%,19.40%,40.30%,9992.50,1.10,2.49%,10959633.00
129,"Steel",5.52%,18.53%,10.01%,26.74%,82.23%,48.27%,48240.50,0.57,0.75%,27559258.00
130,"Telecom Services",1.51%,4.51%,-5.97%,-7.48%,-5.27%,-0.84%,218733.73,0.73,-0.34%,159979147.00
131,"Textile Manufacturing",-12.25%,-9.36%,7.76%,14.40%,5.90%,27.86%,1146.01,2.13,2.35%,2439628.00
132,"Thermal Coal",6.15%,4.76%,-1.94%,-9.99%,13.33%,-3.85%,4130.97,0.72,-0.41%,2963323.00
133,"Tobacco",-0.84%,0.82%,5.87%,1.84%,10.10%,14.42%,21238.56,0.92,0.88%,19522407.00
134,"Tools & Accessories",4.22%,5.43%,7.01%,9.45%,35.89%,27.11%,7495.83,1.01,1.00%,7588475.00
135,"Travel Services",6.88%,14.96%,17.57%,14.16%,7.01%,4.67%,77086.53,0.85,3.53%,65367114.00
136,"Trucking",1.96%,-6.57%,2.77%,8.99%,48.71%,38.07%,15148.89,0.73,2.25%,11043251.00
137,"Uranium",13.72%,4.19%,-19.41%,-13.37%,24.77%,3.77%,71588.27,0.88,4.31%,62826304.00
138,"Utilities - Diversified",-4.40%,-6.06%,-4.63%,-1.33%,10.80%,0.68%,19119.21,1.06,-0.32%,20356324.00
139,"Utilities - Independent Power Producers",-0.57%,-3.13%,-13.66%,0.09%,-22.16%,-20.10%,35125.29,1.18,2.14%,41597187.00
140,"Utilities - Regulated Electric",-1.21%,-2.92%,-2.14%,-0.05%,6.96%,6.19%,138487.76,0.98,0.46%,136169594.00
141,"Utilities - Regulated Gas",-1.79%,-3.00%,-5.11%,-2.49%,8.03%,2.12%,16436.75,1.14,-0.32%,18675428.00
142,"Utilities - Regulated Water",-1.31%,-4.98%,-9.45%,0.50%,21.93%,9.55%,13352.30,0.67,-0.47%,8896057.00
143,"Utilities - Renewable",2.60%,-0.19%,-12.15%,-0.57%,52.58%,11.74%,33482.43,1.12,2.52%,37592137.00
144,"Waste Management",0.52%,-1.46%,5.60%,-1.44%,-6.53%,0.66%,24786.89,0.96,0.34%,23748328.00
